iso_693_3,language_name,asr,tts,lid
aaa,Ghotuo,,,✔️
aab,Arum,,,✔️
aac,Ari,,,✔️
aad,Amal,,,✔️
aaf,Aranadan,,,✔️
aai,Miniafia Oyan,,,✔️
aal,Afade,,,✔️
aar,Afar,,,✔️
aau,Abau,,,✔️
aaw,Solong,,,✔️
aaz,Amarasi,,,✔️
aba,Abé,,,✔️
abi,Abidji,✔️,✔️,✔️
abk,Abkhaz,✔️,,✔️
abm,Abanyom,,,✔️
abn,Abua,,,✔️
abo,Abon,,,✔️
abp,"Ayta, Abellen",✔️,✔️,✔️
abr,Abron,,,✔️
abs,"Malay, Ambonese",,,✔️
abt,Ambulas,,,✔️
abu,Abure,,,✔️
abz,Abui,,,✔️
aca,Achagua,✔️,✔️,✔️
acd,Gikyode,✔️,✔️,✔️
ace,Aceh,✔️,✔️,✔️
acf,Lesser Antillean French Creole,✔️,✔️,✔️
ach,Acholi,✔️,✔️,✔️
acn,Achang,✔️,✔️,✔️
acr,Achi,✔️,✔️,✔️
acu,Achuar-Shiwiar,✔️,✔️,✔️
acv,Achumawi,,,✔️
acz,Acheron,,,✔️
ada,Dangme,,,✔️
add,Lidzonka,,,✔️
ade,Adele,✔️,✔️,✔️
adh,Jopadhola,✔️,✔️,✔️
adi,Adi,,,✔️
adj,Adioukrou,✔️,✔️,✔️
adl,"Adi, Galo",,,✔️
adn,Adang,,,✔️
ado,Abu,,,✔️
adq,Adangbe,,,✔️
adx,"Tibetan, Amdo",✔️,✔️,✔️
ady,Adyghe,,,✔️
adz,Adzera,,,✔️
aee,"Pashai, Northeast",,,✔️
ael,Ambele,,,✔️
aeu,Akeu,✔️,✔️,✔️
aey,Amele,,,✔️
aez,Aeka,,,✔️
afe,Utugwang-Irungene-Afrike,,,✔️
afi,Chini,,,✔️
afo,Ajiri,,,✔️
afr,Afrikaans,✔️,,✔️
afu,Awutu,,,✔️
afz,Obokuitai,,,✔️
agb,Legbo,,,✔️
agc,Agatu,,,✔️
agd,Agarabi,✔️,✔️,✔️
age,Angal,,,✔️
agf,Arguni,,,✔️
agg,Angor,✔️,✔️,✔️
agh,Ngelima,,,✔️
agi,Agariya,,,✔️
agl,Fembe,,,✔️
agn,Agutaynen,✔️,✔️,✔️
agr,Awajún,✔️,✔️,✔️
ags,Esimbi,,,✔️
agt,"Agta, Central Cagayan",,,✔️
agu,Awakateko,✔️,✔️,✔️
agw,Kahua,,,✔️
agx,Aghul,✔️,✔️,✔️
agy,"Alta, Southern",,,✔️
aha,Ahanta,✔️,✔️,✔️
ahb,Axamb,,,✔️
ahg,Qimant,,,✔️
ahk,Akha,✔️,✔️,✔️
ahl,Igo,,,✔️
ahp,"Aizi, Aproumu",,,✔️
ahr,Ahirani,,,✔️
ahs,Ashe,,,✔️
aia,Arosi,✔️,✔️,✔️
aif,Agi,,,✔️
aii,Assyrian Neo-Aramaic,,,✔️
aik,Akye,,,✔️
aim,Aimol,,,✔️
aio,Aiton,,,✔️
aiw,Aari,,,✔️
aix,Aighon,,,✔️
ajg,Aja,,,✔️
aji,Ajië,,,✔️
aka,Akan,✔️,✔️,✔️
akb,Batak Angkola,✔️,✔️,✔️
akc,Mpur,,,✔️
ake,Akawaio,✔️,✔️,✔️
