type,language_code,dataset,model,path,iso_693_3
tts_models,bg,cv,vits,tts_models/bg/cv/vits,bul
tts_models,cs,cv,vits,tts_models/cs/cv/vits,ces
tts_models,da,cv,vits,tts_models/da/cv/vits,dan
tts_models,et,cv,vits,tts_models/et/cv/vits,est
tts_models,ga,cv,vits,tts_models/ga/cv/vits,gle
tts_models,en,ek1,tacotron2,tts_models/en/ek1/tacotron2,eng
tts_models,en,ljspeech,tacotron2-DDC,tts_models/en/ljspeech/tacotron2-DDC,eng
tts_models,en,ljspeech,tacotron2-DDC_ph,tts_models/en/ljspeech/tacotron2-DDC_ph,eng
tts_models,en,ljspeech,glow-tts,tts_models/en/ljspeech/glow-tts,eng
tts_models,en,ljspeech,speedy-speech,tts_models/en/ljspeech/speedy-speech,eng
tts_models,en,ljspeech,tacotron2-DCA,tts_models/en/ljspeech/tacotron2-DCA,eng
tts_models,en,ljspeech,vits,tts_models/en/ljspeech/vits,eng
tts_models,en,ljspeech,vits--neon,tts_models/en/ljspeech/vits--neon,eng
tts_models,en,ljspeech,fast_pitch,tts_models/en/ljspeech/fast_pitch,eng
tts_models,en,ljspeech,overflow,tts_models/en/ljspeech/overflow,eng
tts_models,en,ljspeech,neural_hmm,tts_models/en/ljspeech/neural_hmm,eng
tts_models,en,vctk,vits,tts_models/en/vctk/vits,eng
tts_models,en,vctk,fast_pitch,tts_models/en/vctk/fast_pitch,eng
tts_models,en,sam,tacotron-DDC,tts_models/en/sam/tacotron-DDC,eng
tts_models,en,blizzard2013,capacitron-t2-c50,tts_models/en/blizzard2013/capacitron-t2-c50,eng
tts_models,en,blizzard2013,capacitron-t2-c150_v2,tts_models/en/blizzard2013/capacitron-t2-c150_v2,eng
tts_models,en,multi-dataset,tortoise-v2,tts_models/en/multi-dataset/tortoise-v2,eng
tts_models,en,jenny,jenny,tts_models/en/jenny/jenny,eng
tts_models,es,mai,tacotron2-DDC,tts_models/es/mai/tacotron2-DDC,spa
tts_models,es,css10,vits,tts_models/es/css10/vits,spa
tts_models,fr,mai,tacotron2-DDC,tts_models/fr/mai/tacotron2-DDC,fra
tts_models,fr,css10,vits,tts_models/fr/css10/vits,fra
tts_models,uk,mai,glow-tts,tts_models/uk/mai/glow-tts,ukr
tts_models,uk,mai,vits,tts_models/uk/mai/vits,ukr
tts_models,zh,baker,tacotron2-DDC-GST,tts_models/zh-CN/baker/tacotron2-DDC-GST,zho
tts_models,nl,mai,tacotron2-DDC,tts_models/nl/mai/tacotron2-DDC,nld
tts_models,nl,css10,vits,tts_models/nl/css10/vits,nld
tts_models,de,thorsten,tacotron2-DCA,tts_models/de/thorsten/tacotron2-DCA,deu
tts_models,de,thorsten,vits,tts_models/de/thorsten/vits,deu
tts_models,de,thorsten,tacotron2-DDC,tts_models/de/thorsten/tacotron2-DDC,deu
tts_models,de,css10,vits-neon,tts_models/de/css10/vits-neon,deu
tts_models,ja,kokoro,tacotron2-DDC,tts_models/ja/kokoro/tacotron2-DDC,jpn
tts_models,tr,common-voice,glow-tts,tts_models/tr/common-voice/glow-tts,tur
tts_models,it,mai_female,glow-tts,tts_models/it/mai_female/glow-tts,ita
tts_models,it,mai_female,vits,tts_models/it/mai_female/vits,ita
tts_models,it,mai_male,glow-tts,tts_models/it/mai_male/glow-tts,ita
tts_models,it,mai_male,vits,tts_models/it/mai_male/vits,ita
tts_models,ewe,openbible,vits,tts_models/ewe/openbible/vits,ewe
tts_models,hau,openbible,vits,tts_models/hau/openbible/vits,hau
tts_models,lin,openbible,vits,tts_models/lin/openbible/vits,lin
tts_models,tw,openbible,vits,tts_models/tw_akuapem/openbible/vits,twi
tts_models,tw,openbible,vits,tts_models/tw_asante/openbible/vits,twi
tts_models,yor,openbible,vits,tts_models/yor/openbible/vits,yor
tts_models,hu,css10,vits,tts_models/hu/css10/vits,hun
tts_models,el,cv,vits,tts_models/el/cv/vits,ell
tts_models,fi,css10,vits,tts_models/fi/css10/vits,fin
tts_models,hr,cv,vits,tts_models/hr/cv/vits,hrv
tts_models,lt,cv,vits,tts_models/lt/cv/vits,lit
tts_models,lv,cv,vits,tts_models/lv/cv/vits,lav
tts_models,mt,cv,vits,tts_models/mt/cv/vits,mlt
tts_models,pl,mai_female,vits,tts_models/pl/mai_female/vits,pol
tts_models,pt,cv,vits,tts_models/pt/cv/vits,por
tts_models,ro,cv,vits,tts_models/ro/cv/vits,ron
tts_models,sk,cv,vits,tts_models/sk/cv/vits,slk
tts_models,sl,cv,vits,tts_models/sl/cv/vits,slv
tts_models,sv,cv,vits,tts_models/sv/cv/vits,swe
tts_models,ca,custom,vits,tts_models/ca/custom/vits,cat
tts_models,fa,custom,glow-tts,tts_models/fa/custom/glow-tts,fas
tts_models,bn,custom,vits-male,tts_models/bn/custom/vits-male,ben
tts_models,bn,custom,vits-female,tts_models/bn/custom/vits-female,ben
tts_models,be,common-voice,glow-tts,tts_models/be/common-voice/glow-tts,bel
