,iso_693_3,language_name,toucan_id,meta_mms_id,coqui_id,piper_id,espeak_id
1994,alu,'Are'are,'Are'are (alu),,,,
1544,kud,'Auhelawa,'Auhelawa (kud),,,,
6562,aou,A'ou,A'ou (aou),,,,
6362,apq,A-Pucikwar,A-Pucikwar (apq),,,,
2263,aiw,Aari,Aari (aiw),,,,
2082,aas,Aasáx,Aasáx (aas),,,,
1570,kbt,Abadi,Abadi (kbt),,,,
5007,abg,Abaga,Abaga (abg),,,,
3612,abf,Abai Sungai,Abai Sungai (abf),,,,
6509,abm,Abanyom,Abanyom (abm),,,,
4287,aau,Abau,Abau (aau),,,,
1273,abq,Abaza,Abaza (abq),,,,
4172,abp,Abellen Ayta,Abellen Ayta (abp),abp,,,
1796,abi,Abidji,Abidji (abi),abi,,,
4587,bsa,Abinomn,Abinomn (bsa),,,,
2731,axb,Abipon,Abipon (axb),,,,
1072,ash,Abishira,Abishira (ash),,,,
6938,abk,Abkhazian,Abkhazian (abk),,,,
2338,aob,Abom,Abom (aob),,,,
15,abo,Abon,Abon (abo),,,,
2393,abr,Abron,Abron (abr),,,,
1165,ado,Abu,Abu (ado),,,,
7109,aah,Abu' Arapesh,Abu' Arapesh (aah),,,,
7065,abn,Abua,Abua (abn),,,,
3735,abz,Abui,Abui (abz),,,,
3766,kgr,Abun,Abun (kgr),,,,
6923,abu,Abure,Abure (abu),,,,
1881,mgj,Abureni,Abureni (mgj),,,,
1773,aba,Abé,Abé (aba),,,,
5273,tpx,Acatepec Tlapanec,Acatepec Tlapanec (tpx),,,,
304,aca,Achagua,Achagua (aca),aca,,,
6565,acn,Achang,Achang (acn),acn,,,
3170,yif,Ache,Ache (yif),,,,
388,acz,Acheron,Acheron (acz),,,,
1343,acr,Achi,Achi (acr),acr,,,
1600,ace,Achinese,Achinese (ace),ace,,,
5486,act,Achterhoeks,Achterhoeks (act),,,,
4854,acu,Achuar-Shiwiar,Achuar-Shiwiar (acu),acu,,,
480,acv,Achumawi,Achumawi (acv),,,,
257,guq,Aché,Aché (guq),guq,,,
1641,ach,Acoli,Acoli (ach),ach,,,
4475,acs,Acroá,Acroá (acs),,,,
6099,xad,Adai,Adai (xad),,,,
320,fub,Adamawa Fulfulde,Adamawa Fulfulde (fub),,,,
737,adn,Adang,Adang (adn),,,,
1960,adq,Adangbe,Adangbe (adq),,,,
2992,ada,Adangme,Adangme (ada),,,,
5401,kad,Adara,Adara (kad),,,,
3289,tiu,Adasen,Adasen (tiu),,,,
6539,ade,Adele,Adele (ade),ade,,,
4163,adh,Adhola,Adhola (adh),adh,,,
6579,adi,Adi,Adi (adi),,,,
1154,adj,Adioukrou,Adioukrou (adj),adj,,,
5599,dth,Adithinngithigh,Adithinngithigh (dth),,,,
369,ort,Adivasi Oriya,Adivasi Oriya (ort),,,,
1593,gas,Adiwasi Garasia,Adiwasi Garasia (gas),,,,
6104,adt,Adnyamathanha,Adnyamathanha (adt),,,,
3641,adr,Adonara,Adonara (adr),,,,
5013,ady,Adyghe,Adyghe (ady),,,,
1102,adz,Adzera,Adzera (adz),,,,
2173,aez,Aeka,Aeka (aez),,,,
2885,awi,Aekyom,Aekyom (awi),,,,
5224,aeq,Aer,Aer (aeq),,,,
4226,aal,Afade,Afade (aal),,,,
4150,aar,Afar,Afar (aar),,,,
402,aft,Afitti,Afitti (aft),,,,
3086,afr,Afrikaans,Afrikaans (afr),,,,af
6221,afs,Afro-Seminole Creole,Afro-Seminole Creole (afs),,,,
2584,agd,Agarabi,Agarabi (agd),agd,,,
2932,agc,Agatu,Agatu (agc),,,,
6745,agq,Aghem,Aghem (agq),,,,
2322,ahh,Aghu,Aghu (ahh),,,,
3494,agx,Aghul,Aghul (agx),agx,,,
5632,xag,Aghwan,Aghwan (xag),,,,
5610,aif,Agi,Agi (aif),,,,
7191,kit,Agob,Agob (kit),,,,
2029,ibm,Agoi,Agoi (ibm),,,,
5056,agu,Aguacateco,Aguacateco (agu),agu,,,
5629,agr,Aguaruna,Aguaruna (agr),agr,,,
5857,aug,Aguna,Aguna (aug),,,,
2378,msm,Agusan Manobo,Agusan Manobo (msm),,,,
6440,agn,Agutaynen,Agutaynen (agn),agn,,,
1268,yay,Agwagwune,Agwagwune (yay),,,,
2800,aha,Ahanta,Ahanta (aha),aha,,,
3213,thm,Aheu,Aheu (thm),,,,
3638,aho,Ahom,Ahom (aho),,,,
1989,aht,Ahtena,Ahtena (aht),,,,
632,nfd,Ahwai,Ahwai (nfd),,,,
6444,aih,Ai-Cham,Ai-Cham (aih),,,,
2876,aix,Aighon,Aighon (aix),,,,
6506,tba,Aikanã,Aikanã (tba),,,,
4310,mwg,Aiklep,Aiklep (mwg),,,,
2753,aiq,Aimaq,Aimaq (aiq),,,,
2989,ail,Aimele,Aimele (ail),,,,
4688,aim,Aimol,Aimol (aim),,,,
1660,aic,Ainbai,Ainbai (aic),,,,
4148,aib,Ainu (China),Ainu (China) (aib),,,,
5621,ain,Ainu (Japan),Ainu (Japan) (ain),,,,
6148,aki,Aiome,Aiome (aki),,,,
6453,air,Airoran,Airoran (air),,,,
3649,aio,Aiton,Aiton (aio),,,,
5485,ajg,Aja (Benin),Aja (Benin) (ajg),,,,
5817,aja,Aja (South Sudan),Aja (South Sudan) (aja),,,,
471,ajw,Ajawa,Ajawa (ajw),,,,
1563,aji,Ajië,Ajië (aji),,,,
2129,muc,Ajumbu,Ajumbu (muc),,,,
2046,cpc,Ajyíninka Apurucayali,Ajyíninka Apurucayali (cpc),,,,
3260,akq,Ak,Ak (akq),,,,
3163,soh,Aka,Aka (soh),,,,
289,abj,Aka-Bea,Aka-Bea (abj),,,,
1572,akm,Aka-Bo,Aka-Bo (akm),,,,
