iso_693_3,language_name,toucan_id,meta_mms_id,coqui_id,piper_id,espeak_id,n_platforms
alu,0,0,1,1,1,1,4
kud,0,0,1,1,1,1,4
aou,0,0,1,1,1,1,4
apq,0,0,1,1,1,1,4
aiw,0,0,1,1,1,1,4
aas,0,0,1,1,1,1,4
kbt,0,0,1,1,1,1,4
abg,0,0,1,1,1,1,4
abf,0,0,1,1,1,1,4
abm,0,0,1,1,1,1,4
aau,0,0,1,1,1,1,4
abq,0,0,1,1,1,1,4
abp,0,0,0,1,1,1,3
abi,0,0,0,1,1,1,3
bsa,0,0,1,1,1,1,4
axb,0,0,1,1,1,1,4
ash,0,0,1,1,1,1,4
abk,0,0,1,1,1,1,4
aob,0,0,1,1,1,1,4
abo,0,0,1,1,1,1,4
abr,0,0,1,1,1,1,4
ado,0,0,1,1,1,1,4
aah,0,0,1,1,1,1,4
abn,0,0,1,1,1,1,4
abz,0,0,1,1,1,1,4
kgr,0,0,1,1,1,1,4
abu,0,0,1,1,1,1,4
mgj,0,0,1,1,1,1,4
aba,0,0,1,1,1,1,4
tpx,0,0,1,1,1,1,4
aca,0,0,0,1,1,1,3
acn,0,0,0,1,1,1,3
yif,0,0,1,1,1,1,4
acz,0,0,1,1,1,1,4
acr,0,0,0,1,1,1,3
ace,0,0,0,1,1,1,3
act,0,0,1,1,1,1,4
acu,0,0,0,1,1,1,3
acv,0,0,1,1,1,1,4
guq,0,0,0,1,1,1,3
ach,0,0,0,1,1,1,3
acs,0,0,1,1,1,1,4
xad,0,0,1,1,1,1,4
fub,0,0,1,1,1,1,4
adn,0,0,1,1,1,1,4
adq,0,0,1,1,1,1,4
ada,0,0,1,1,1,1,4
kad,0,0,1,1,1,1,4
tiu,0,0,1,1,1,1,4
ade,0,0,0,1,1,1,3
adh,0,0,0,1,1,1,3
adi,0,0,1,1,1,1,4
adj,0,0,0,1,1,1,3
dth,0,0,1,1,1,1,4
ort,0,0,1,1,1,1,4
gas,0,0,1,1,1,1,4
adt,0,0,1,1,1,1,4
adr,0,0,1,1,1,1,4
ady,0,0,1,1,1,1,4
adz,0,0,1,1,1,1,4
aez,0,0,1,1,1,1,4
awi,0,0,1,1,1,1,4
aeq,0,0,1,1,1,1,4
aal,0,0,1,1,1,1,4
aar,0,0,1,1,1,1,4
aft,0,0,1,1,1,1,4
afr,0,0,1,1,1,0,3
afs,0,0,1,1,1,1,4
agd,0,0,0,1,1,1,3
agc,0,0,1,1,1,1,4
agq,0,0,1,1,1,1,4
ahh,0,0,1,1,1,1,4
